filename, language, JSON, SQL, Markdown, JavaScript, HTML, CSS, comment, blank, total
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Footer/Footer.css, CSS, 0, 0, 0, 0, 0, 3, 0, 1, 4
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Footer/Footer.js, JavaScript, 0, 0, 0, 8, 0, 0, 4, 4, 16
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/LogOutButton/LogOutButton.js, JavaScript, 0, 0, 0, 11, 0, 0, 0, 3, 14
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Map/Map.css, CSS, 0, 0, 0, 0, 0, 15, 0, 2, 17
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Map/Map.js, JavaScript, 0, 0, 0, 103, 0, 0, 19, 16, 138
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Nav/Nav.css, CSS, 0, 0, 0, 0, 0, 29, 2, 5, 36
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/Nav/Nav.js, JavaScript, 0, 0, 0, 34, 0, 0, 1, 5, 40
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/SearchTool/SearchTool.js, JavaScript, 0, 0, 0, 96, 0, 0, 3, 12, 111
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/components/ReusableComp/SideNav/SideNav.js, JavaScript, 0, 0, 0, 214, 0, 0, 4, 11, 229
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/index.js, JavaScript, 0, 0, 0, 24, 0, 0, 8, 8, 40
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/mapStoreToProps.js, JavaScript, 0, 0, 0, 9, 0, 0, 4, 2, 15
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/_root.reducer.js, JavaScript, 0, 0, 0, 26, 0, 0, 5, 4, 35
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/customers.reducer.js, JavaScript, 0, 0, 0, 9, 0, 0, 2, 3, 14
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/errors.reducer.js, JavaScript, 0, 0, 0, 31, 0, 0, 7, 4, 42
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/loginMode.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 2, 15
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/selCustomer.reducer.js, JavaScript, 0, 0, 0, 9, 0, 0, 2, 2, 13
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setAllNew.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 2, 15
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setAllToday.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 2, 15
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setDate.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 3, 16
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setOrder.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 3, 16
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setOrderTech.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 3, 16
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/setRoute.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 2, 15
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/reducers/user.reducer.js, JavaScript, 0, 0, 0, 11, 0, 0, 2, 2, 15
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/_root.saga.js, JavaScript, 0, 0, 0, 31, 0, 0, 6, 3, 40
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/addCustomer.saga.js, JavaScript, 0, 0, 0, 17, 0, 0, 2, 4, 23
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/addOrder.saga.js, JavaScript, 0, 0, 0, 17, 0, 0, 2, 3, 22
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/addTech.saga.js, JavaScript, 0, 0, 0, 22, 0, 0, 2, 6, 30
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/customers.saga.js, JavaScript, 0, 0, 0, 20, 0, 0, 2, 4, 26
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/editOrder.saga.js, JavaScript, 0, 0, 0, 21, 0, 0, 2, 6, 29
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getAllNew.saga.js, JavaScript, 0, 0, 0, 20, 0, 0, 2, 4, 26
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getAllToday.saga.js, JavaScript, 0, 0, 0, 21, 0, 0, 2, 4, 27
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getOrder.saga.js, JavaScript, 0, 0, 0, 21, 0, 0, 2, 5, 28
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/getOrderTech.saga.js, JavaScript, 0, 0, 0, 29, 0, 0, 2, 4, 35
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/login.saga.js, JavaScript, 0, 0, 0, 37, 0, 0, 20, 11, 68
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/postJunction.saga.js, JavaScript, 0, 0, 0, 17, 0, 0, 2, 4, 23
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/registration.saga.js, JavaScript, 0, 0, 0, 17, 0, 0, 6, 7, 30
/Users/prime/Desktop/prime/solo-project/neptune-solo/src/redux/sagas/user.saga.js, JavaScript, 0, 0, 0, 18, 0, 0, 8, 6, 32
Total, -, 135, 67, 73, 2421, 16, 191, 388, 495, 3786
